Date,State,Num_of_Arrivals
1991-01-01,ACT,1990
1991-01-01,NSW,75630
1991-01-01,NT,1220
1991-01-01,QLD,42710
1991-01-01,SA,4930
1991-01-01,TAS,1410
1991-01-01,Total,177410
1991-01-01,VIC,28840
1991-01-01,WA,13790
1991-02-01,ACT,3740
1991-02-01,NSW,78340
1991-02-01,NT,1460
1991-02-01,QLD,42340
1991-02-01,SA,5780
1991-02-01,TAS,1800
1991-02-01,Total,190570
1991-02-01,VIC,33830
1991-02-01,WA,17410
1991-03-01,ACT,2270
1991-03-01,NSW,80520
1991-03-01,NT,710
1991-03-01,QLD,45860
1991-03-01,SA,6240
1991-03-01,TAS,1350
1991-03-01,Total,189180
1991-03-01,VIC,32020
1991-03-01,WA,15450
1991-04-01,ACT,1800
1991-04-01,NSW,68330
1991-04-01,NT,1860
1991-04-01,QLD,42900
1991-04-01,SA,4950
1991-04-01,TAS,710
1991-04-01,Total,168000
1991-04-01,VIC,25810
1991-04-01,WA,17160
1991-05-01,ACT,1230
1991-05-01,NSW,65380
1991-05-01,NT,2360
1991-05-01,QLD,43100
1991-05-01,SA,3610
1991-05-01,TAS,890
1991-05-01,Total,161400
1991-05-01,VIC,24750
1991-05-01,WA,15280
1991-06-01,ACT,1360
1991-06-01,NSW,64100
1991-06-01,NT,2060
1991-06-01,QLD,58800
1991-06-01,SA,2900
1991-06-01,TAS,980
1991-06-01,Total,172230
1991-06-01,VIC,22550
1991-06-01,WA,12930
1991-07-01,ACT,1960
1991-07-01,NSW,86770
1991-07-01,NT,2630
1991-07-01,QLD,61970
1991-07-01,SA,3920
1991-07-01,TAS,890
1991-07-01,Total,208310
1991-07-01,VIC,30170
1991-07-01,WA,12380
1991-08-01,ACT,1560
1991-08-01,NSW,87560
1991-08-01,NT,2630
1991-08-01,QLD,55210
1991-08-01,SA,3240
1991-08-01,TAS,890
1991-08-01,Total,199310
1991-08-01,VIC,28220
1991-08-01,WA,13260
1991-09-01,ACT,2330
1991-09-01,NSW,86500
1991-09-01,NT,1760
1991-09-01,QLD,50130
1991-09-01,SA,3830
1991-09-01,TAS,780
1991-09-01,Total,197360
1991-09-01,VIC,27990
1991-09-01,WA,16010
1991-10-01,ACT,2310
1991-10-01,NSW,90610
1991-10-01,NT,1700
1991-10-01,QLD,56010
1991-10-01,SA,6420
1991-10-01,TAS,920
1991-10-01,Total,215970
1991-10-01,VIC,32860
1991-10-01,WA,15900
1991-11-01,ACT,2390
1991-11-01,NSW,93940
1991-11-01,NT,1690
1991-11-01,QLD,54920
1991-11-01,SA,5680
1991-11-01,TAS,950
1991-11-01,Total,223860
1991-11-01,VIC,36350
1991-11-01,WA,18140
1991-12-01,ACT,2970
1991-12-01,NSW,110600
1991-12-01,NT,2040
1991-12-01,QLD,62200
1991-12-01,SA,7560
1991-12-01,TAS,1930
1991-12-01,Total,266750
1991-12-01,VIC,43180
1991-12-01,WA,25600
1992-01-01,ACT,1610
1992-01-01,NSW,86250
1992-01-01,NT,700
1992-01-01,QLD,50890
1992-01-01,SA,4180
1992-01-01,TAS,2040
1992-01-01,Total,196090
1992-01-01,VIC,28990
1992-01-01,WA,14570
1992-02-01,ACT,1720
1992-02-01,NSW,105340
1992-02-01,NT,1430
1992-02-01,QLD,54510
1992-02-01,SA,5710
1992-02-01,TAS,1860
1992-02-01,Total,238250
1992-02-01,VIC,40880
1992-02-01,WA,19340
1992-03-01,ACT,1660
1992-03-01,NSW,101310
1992-03-01,NT,1310
1992-03-01,QLD,49420
1992-03-01,SA,5290
1992-03-01,TAS,1470
1992-03-01,Total,217800
1992-03-01,VIC,31960
1992-03-01,WA,16820
1992-04-01,ACT,1530
1992-04-01,NSW,93600
1992-04-01,NT,1460
1992-04-01,QLD,49590
1992-04-01,SA,4670
1992-04-01,TAS,1180
1992-04-01,Total,203830
1992-04-01,VIC,28990
1992-04-01,WA,16830
1992-05-01,ACT,1340
1992-05-01,NSW,74960
1992-05-01,NT,2070
1992-05-01,QLD,53270
1992-05-01,SA,2720
1992-05-01,TAS,950
1992-05-01,Total,175220
1992-05-01,VIC,23590
1992-05-01,WA,11180
1992-06-01,ACT,1260
1992-06-01,NSW,71860
1992-06-01,NT,1660
1992-06-01,QLD,57170
1992-06-01,SA,3310
1992-06-01,TAS,700
1992-06-01,Total,176940
1992-06-01,VIC,21900
1992-06-01,WA,14370
1992-07-01,ACT,1950
1992-07-01,NSW,90140
1992-07-01,NT,2330
1992-07-01,QLD,68680
1992-07-01,SA,4700
1992-07-01,TAS,800
1992-07-01,Total,219260
1992-07-01,VIC,26950
1992-07-01,WA,15710
1992-08-01,ACT,1240
1992-08-01,NSW,88000
1992-08-01,NT,2580
1992-08-01,QLD,58830
1992-08-01,SA,3110
1992-08-01,TAS,710
1992-08-01,Total,199080
1992-08-01,VIC,22670
1992-08-01,WA,14680
1992-09-01,ACT,1930
1992-09-01,NSW,81490
1992-09-01,NT,2000
1992-09-01,QLD,53420
1992-09-01,SA,3900
1992-09-01,TAS,510
1992-09-01,Total,190020
1992-09-01,VIC,22850
1992-09-01,WA,16890
1992-10-01,ACT,1590
1992-10-01,NSW,95300
1992-10-01,NT,2420
1992-10-01,QLD,63410
1992-10-01,SA,4950
1992-10-01,TAS,920
1992-10-01,Total,229320
1992-10-01,VIC,32340
1992-10-01,WA,18780
1992-11-01,ACT,1980
1992-11-01,NSW,113730
1992-11-01,NT,1250
1992-11-01,QLD,66630
1992-11-01,SA,6020
1992-11-01,TAS,1390
1992-11-01,Total,255040
1992-11-01,VIC,37890
1992-11-01,WA,21790
1992-12-01,ACT,2340
1992-12-01,NSW,130290
1992-12-01,NT,1830
1992-12-01,QLD,78940
1992-12-01,SA,8290
1992-12-01,TAS,3000
1992-12-01,Total,302400
1992-12-01,VIC,42850
1992-12-01,WA,31030
1993-01-01,ACT,1620
1993-01-01,NSW,107530
1993-01-01,NT,1320
1993-01-01,QLD,67410
1993-01-01,SA,4990
1993-01-01,TAS,1810
1993-01-01,Total,242760
1993-01-01,VIC,32820
1993-01-01,WA,19130
1993-02-01,ACT,2190
1993-02-01,NSW,111900
1993-02-01,NT,1340
1993-02-01,QLD,57540
1993-02-01,SA,5810
1993-02-01,TAS,2340
1993-02-01,Total,245460
1993-02-01,VIC,38710
1993-02-01,WA,20000
1993-03-01,ACT,2080
1993-03-01,NSW,115310
1993-03-01,NT,960
1993-03-01,QLD,66710
1993-03-01,SA,7220
1993-03-01,TAS,2710
1993-03-01,Total,257950
1993-03-01,VIC,37210
1993-03-01,WA,20380
1993-04-01,ACT,1490
1993-04-01,NSW,100640
1993-04-01,NT,1870
1993-04-01,QLD,64560
1993-04-01,SA,5050
1993-04-01,TAS,1040
1993-04-01,Total,226320
1993-04-01,VIC,29330
1993-04-01,WA,19550
1993-05-01,ACT,1100
1993-05-01,NSW,89410
1993-05-01,NT,2150
1993-05-01,QLD,66460
1993-05-01,SA,3390
1993-05-01,TAS,900
1993-05-01,Total,213410
1993-05-01,VIC,32820
1993-05-01,WA,16710
1993-06-01,ACT,1170
1993-06-01,NSW,85650
1993-06-01,NT,1730
1993-06-01,QLD,69530
1993-06-01,SA,3170
1993-06-01,TAS,610
1993-06-01,Total,204580
1993-06-01,VIC,22460
1993-06-01,WA,19370
1993-07-01,ACT,2590
1993-07-01,NSW,112540
1993-07-01,NT,3670
1993-07-01,QLD,71200
1993-07-01,SA,5070
1993-07-01,TAS,910
1993-07-01,Total,244620
1993-07-01,VIC,29150
1993-07-01,WA,18680
1993-08-01,ACT,1280
1993-08-01,NSW,103620
1993-08-01,NT,3840
1993-08-01,QLD,79080
1993-08-01,SA,3920
1993-08-01,TAS,790
1993-08-01,Total,239930
1993-08-01,VIC,25440
1993-08-01,WA,19780
1993-09-01,ACT,2600
1993-09-01,NSW,99600
1993-09-01,NT,2950
1993-09-01,QLD,65700
1993-09-01,SA,5940
1993-09-01,TAS,850
1993-09-01,Total,224030
1993-09-01,VIC,24720
1993-09-01,WA,20390
1993-10-01,ACT,2180
1993-10-01,NSW,125690
1993-10-01,NT,3200
1993-10-01,QLD,73480
1993-10-01,SA,5550
1993-10-01,TAS,1420
1993-10-01,Total,267220
1993-10-01,VIC,31310
1993-10-01,WA,21290
1993-11-01,ACT,2190
1993-11-01,NSW,116820
1993-11-01,NT,2660
1993-11-01,QLD,82340
1993-11-01,SA,7770
1993-11-01,TAS,1950
1993-11-01,Total,285910
1993-11-01,VIC,42390
1993-11-01,WA,29800
1993-12-01,ACT,3160
1993-12-01,NSW,142900
1993-12-01,NT,1940
1993-12-01,QLD,93050
1993-12-01,SA,9190
1993-12-01,TAS,3600
1993-12-01,Total,344040
1993-12-01,VIC,51670
1993-12-01,WA,38530
1994-01-01,ACT,1460
1994-01-01,NSW,114520
1994-01-01,NT,1640
1994-01-01,QLD,65050
1994-01-01,SA,5770
1994-01-01,TAS,2190
1994-01-01,Total,250530
1994-01-01,VIC,38270
1994-01-01,WA,21620
1994-02-01,ACT,2320
1994-02-01,NSW,134630
1994-02-01,NT,2270
1994-02-01,QLD,82990
1994-02-01,SA,7360
1994-02-01,TAS,2340
1994-02-01,Total,304280
1994-02-01,VIC,43170
1994-02-01,WA,29210
1994-03-01,ACT,1780
1994-03-01,NSW,138580
1994-03-01,NT,2510
1994-03-01,QLD,78410
1994-03-01,SA,6840
1994-03-01,TAS,1250
1994-03-01,Total,307400
1994-03-01,VIC,45380
1994-03-01,WA,32650
1994-04-01,ACT,2490
1994-04-01,NSW,118480
1994-04-01,NT,2740
1994-04-01,QLD,68170
1994-04-01,SA,5870
1994-04-01,TAS,1150
1994-04-01,Total,255130
1994-04-01,VIC,32280
1994-04-01,WA,23950
1994-05-01,ACT,1440
1994-05-01,NSW,91620
1994-05-01,NT,2470
1994-05-01,QLD,69520
1994-05-01,SA,3460
1994-05-01,TAS,1090
1994-05-01,Total,214940
1994-05-01,VIC,25320
1994-05-01,WA,20030
1994-06-01,ACT,1700
1994-06-01,NSW,97760
1994-06-01,NT,3490
1994-06-01,QLD,75650
1994-06-01,SA,3400
1994-06-01,TAS,740
1994-06-01,Total,230940
1994-06-01,VIC,26390
1994-06-01,WA,21800
1994-07-01,ACT,2580
1994-07-01,NSW,126810
1994-07-01,NT,6160
1994-07-01,QLD,80290
1994-07-01,SA,5970
1994-07-01,TAS,870
1994-07-01,Total,282510
1994-07-01,VIC,34140
1994-07-01,WA,25690
1994-08-01,ACT,1870
1994-08-01,NSW,119140
1994-08-01,NT,4630
1994-08-01,QLD,83670
1994-08-01,SA,3760
1994-08-01,TAS,670
1994-08-01,Total,265430
1994-08-01,VIC,27640
1994-08-01,WA,24060
1994-09-01,ACT,2090
1994-09-01,NSW,109200
1994-09-01,NT,3950
1994-09-01,QLD,81480
1994-09-01,SA,4730
1994-09-01,TAS,760
1994-09-01,Total,253970
1994-09-01,VIC,27800
1994-09-01,WA,23950
1994-10-01,ACT,2150
1994-10-01,NSW,127760
1994-10-01,NT,5510
1994-10-01,QLD,88050
1994-10-01,SA,6480
1994-10-01,TAS,1160
1994-10-01,Total,301590
1994-10-01,VIC,40960
1994-10-01,WA,29520
1994-11-01,ACT,2110
1994-11-01,NSW,131050
1994-11-01,NT,3570
1994-11-01,QLD,89540
1994-11-01,SA,8430
1994-11-01,TAS,1970
1994-11-01,Total,311000
1994-11-01,VIC,41440
1994-11-01,WA,32880
1994-12-01,ACT,3020
1994-12-01,NSW,158500
1994-12-01,NT,3310
1994-12-01,QLD,107820
1994-12-01,SA,7840
