State,Date,Special Category Visa,Permanent Family Visa,Permanent Skilled Visa,Permanent Other Visa,Temporary Student Visa,Temporary Skilled Visa,Temporary Visitor Visa,Temporary Work Visa,Temporary Other Visa,Other Visa
VIC,1/07/2004,20780,2600,4360,6270,18440,2700,42980,660,1420,370
VIC,1/08/2004,18460,2460,4050,5230,2700,2090,38420,750,1300,280
VIC,1/09/2004,20910,2280,3830,6100,2010,2100,35410,1610,1320,300
VIC,1/10/2004,23180,2940,3880,6050,3920,2200,48490,1380,1510,340
VIC,1/11/2004,21060,2440,4260,4490,1970,2060,62830,1220,880,430
VIC,1/12/2004,20640,2440,3940,3760,2680,1690,77840,1370,830,480
VIC,1/01/2005,24780,4100,7740,7240,12520,4000,53180,1330,1960,410
VIC,1/02/2005,18610,2790,5570,5010,23580,1880,62450,1880,1580,520
VIC,1/03/2005,24940,2780,4880,4580,5620,2060,62660,1440,1370,850
VIC,1/04/2005,22670,2480,4810,5020,4060,2360,42710,1260,1170,420
VIC,1/05/2005,17640,2380,4300,4150,1810,1970,37040,820,1180,210
VIC,1/06/2005,17860,2470,3850,4940,2880,2090,36620,900,900,520
VIC,1/07/2005,19600,2890,5300,6000,18710,3260,43760,1030,1610,790
VIC,1/08/2005,17220,2870,4600,5020,3410,2230,43820,870,1160,490
VIC,1/09/2005,19470,2960,4220,5970,2510,2510,37520,1430,1330,460
VIC,1/10/2005,25000,2760,4670,6480,3970,2260,52290,1640,1310,600
VIC,1/11/2005,21280,2740,3990,4700,2740,2360,62420,1610,1300,730
VIC,1/12/2005,20820,2540,4270,4300,2720,1820,80010,1430,770,890
VIC,1/01/2006,25680,4160,8780,7120,11680,4630,57120,1740,1570,580
VIC,1/02/2006,17450,3440,6570,4960,27400,2340,57160,1920,1600,1010
VIC,1/03/2006,22800,2560,4720,4240,6300,2600,58880,1850,6230,1430
VIC,1/04/2006,21620,2740,4920,4670,3650,2520,49620,1170,950,610
VIC,1/05/2006,18170,2520,4440,4370,1950,2310,38640,1150,720,750
VIC,1/06/2006,17720,2570,4770,5050,4220,2620,37850,1130,980,730
VIC,1/07/2006,17910,3110,6320,5910,20290,3490,42490,870,1200,1130
VIC,1/08/2006,16780,3150,4750,5600,4060,2530,43020,1160,1040,720
VIC,1/09/2006,20550,2930,4500,6410,3680,3060,43010,1830,1220,690
VIC,1/10/2006,21100,3040,5790,6810,5180,2890,54500,1720,1550,800
VIC,1/11/2006,23940,3040,4860,5150,3830,2510,60900,2020,1200,670
VIC,1/12/2006,22920,2640,4490,4200,3510,2320,92570,1360,1150,1030
VIC,1/01/2007,26570,4560,9650,7750,14250,4830,52200,2080,1880,930
VIC,1/02/2007,18200,2880,6290,4930,27610,2630,64530,1890,1240,1080
VIC,1/03/2007,22900,3520,6570,5130,8960,3090,69550,2160,1480,1140
VIC,1/04/2007,22970,3450,5840,5040,6020,3030,48130,1560,1210,820
VIC,1/05/2007,22640,2740,5140,4820,3220,2660,39160,1400,1320,680
VIC,1/06/2007,24440,3060,5970,5110,5230,3080,39180,1230,1040,790
VIC,1/07/2007,19800,3100,6780,6300,22210,3420,43870,940,1360,740
VIC,1/08/2007,20020,3150,5720,5600,5970,3220,44360,1430,1120,480
VIC,1/09/2007,19660,3280,5240,5790,4220,3570,40610,1850,1200,490
VIC,1/10/2007,23880,3300,5450,7380,5560,2990,52790,1940,1510,520
VIC,1/11/2007,25220,2900,5220,5280,4210,2810,62480,2150,1150,740
VIC,1/12/2007,23340,2960,4890,4240,4750,2830,81080,1810,1320,960
VIC,1/01/2008,25020,4850,10670,7340,15500,5640,51670,1970,2000,1090
VIC,1/02/2008,19780,3140,8440,5100,32000,2950,65280,2250,1730,1060
VIC,1/03/2008,23420,3610,7520,4770,10630,3480,67790,2360,2010,680
VIC,1/04/2008,22050,2930,7070,4710,6850,3560,53240,1960,1610,650
VIC,1/05/2008,20950,3130,6190,4560,4070,3050,42040,1810,1250,540
VIC,1/06/2008,18440,3490,6440,5910,7300,3680,39770,1870,1190,870
VIC,1/07/2008,19850,2960,6700,5850,23540,4250,53000,1300,1520,980
VIC,1/08/2008,18830,3930,5930,5730,7520,3960,40810,1780,1550,620
VIC,1/09/2008,21660,3590,6360,5810,6170,3840,40510,2580,1200,540
VIC,1/10/2008,26300,3480,6490,6280,7900,3500,47470,2510,1820,790
VIC,1/11/2008,26370,3280,6190,4880,6460,3370,59520,2860,1810,850
VIC,1/12/2008,24330,3330,5790,3840,6250,2810,86880,2170,1580,1160
VIC,1/01/2009,28140,5310,12520,7360,17870,6090,53440,3100,2770,980
VIC,1/02/2009,20070,3940,9300,5510,37390,3110,58700,3040,2310,1070
VIC,1/03/2009,24710,3820,7130,4960,13420,3200,65670,3090,1840,1080
VIC,1/04/2009,24550,3990,7720,5790,10070,3120,55080,2160,2180,580
VIC,1/05/2009,20870,3580,6440,5080,5530,3000,43570,1960,1830,820
VIC,1/06/2009,18530,3940,6030,5280,9120,2860,39220,2410,1480,680
VIC,1/07/2009,22600,4430,7030,6380,27910,4000,40430,1560,2060,920
VIC,1/08/2009,21120,4350,6840,5740,8660,3400,42320,2250,2000,580
VIC,1/09/2009,22750,4310,7280,6590,5940,3570,45760,3100,1920,490
VIC,1/10/2009,26240,4340,7660,7150,8400,2980,54220,3060,2150,540
VIC,1/11/2009,24390,4080,7010,6170,5150,3060,63840,3280,2060,570
VIC,1/12/2009,24170,3730,6800,5560,5480,2540,99890,2500,2230,770
VIC,1/01/2010,28730,5880,13750,9530,18380,5800,54620,3290,3570,740
VIC,1/02/2010,20920,4390,9280,6660,35940,3180,73930,3200,3670,660
VIC,1/03/2010,25660,4510,8440,5720,13870,2990,71130,3460,3550,600
VIC,1/04/2010,25000,4360,7480,6210,7050,3670,53210,2300,2590,370
VIC,1/05/2010,23150,3660,6840,5230,3880,3400,46170,2060,2050,560
VIC,1/06/2010,21360,3910,6510,6390,6350,3520,49540,2030,2160,530
VIC,1/07/2010,25220,4500,8270,7710,24870,4680,52860,1740,2550,770
VIC,1/08/2010,22210,4790,6850,6680,6920,3840,55220,2470,2400,390
VIC,1/09/2010,24030,4790,6670,7350,5470,3700,58700,3640,2840,440
VIC,1/10/2010,30140,4580,7090,8730,6510,4250,62940,3750,3020,630
VIC,1/11/2010,27860,4160,6090,5780,5710,3770,75940,3790,3180,560
VIC,1/12/2010,29560,4150,5830,5260,5650,2870,106630,2940,3300,440
VIC,1/01/2011,33340,6420,14230,10190,15540,6960,64590,4120,5010,540
VIC,1/02/2011,24150,5240,10390,6890,39290,3760,76160,4280,4880,670
VIC,1/03/2011,29300,4930,6830,6100,12630,3150,72680,3960,4860,260
VIC,1/04/2011,27000,4490,8030,7240,5450,4160,61820,2670,3720,370
VIC,1/05/2011,25610,4940,7410,6540,5350,3760,51880,2680,3410,180
